"Export for HP:0000118"
"Gene","Associated diseases"
"CLPP (8192)","PERRAULT SYNDROME 3 (OMIM:614129)"
"MKKS (8195)","BARDET-BIEDL SYNDROME 6 (OMIM:605231), MCKUSICK-KAUFMAN SYNDROME (OMIM:236700)"
"DFNB96 (100861440)","DEAFNESS, AUTOSOMAL RECESSIVE 96 (OMIM:614414)"
"CHED1 (8197)","CORNEAL ENDOTHELIAL DYSTROPHY 1, AUTOSOM... (OMIM:121700)"
"GDF5 (8200)","SYMPHALANGISM, PROXIMAL, 1B (OMIM:615298), CHONDRODYSPLASIA, GREBE TYPE (OMIM:200700), BRACHYDACTYLY, TYPE C (OMIM:113100), MULTIPLE SYNOSTOSES SYNDROME 2 (OMIM:610017), ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON... (OMIM:201250), FIBULAR HYPOPLASIA AND COMPLEX BRACHYDAC... (OMIM:228900), BRACHYDACTYLY, TYPE A2 (OMIM:112600), BRACHYDACTYLY, TYPE A1, C (OMIM:615072)"
"TSR2 (90121)","DIAMOND-BLACKFAN ANEMIA 14 WITH MANDIBUL... (OMIM:300946)"
"TAM (8205)","MYELOPROLIFERATIVE SYNDROME, TRANSIENT (OMIM:159595)"
"AARS (16)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:613287), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616339)"
"ABAT (18)","GABA-TRANSAMINASE DEFICIENCY (OMIM:613163)"
"ABCA1 (19)","HYPOALPHALIPOPROTEINEMIA, PRIMARY (OMIM:604091), TANGIER DISEASE (OMIM:205400)"
"ABCA3 (21)","SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:610921)"
"ABCB7 (22)","ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELL... (OMIM:301310)"
"AMER1 (139285)","OSTEOPATHIA STRIATA WITH CRANIAL SCLEROS... (OMIM:300373)"
"ABCA4 (24)","STARGARDT DISEASE 1 (OMIM:248200), RETINITIS PIGMENTOSA 19 (OMIM:601718), CONE-ROD DYSTROPHY 3 (OMIM:604116)"
"ABL1 (25)","ABELSON MURINE LEUKEMIA VIRAL ONCOGENE H... (OMIM:189980)"
"OTSC4 (286751)","OTOSCLEROSIS 4 (OMIM:611571)"
"ACACA (31)","ACETYL-COA CARBOXYLASE DEFICIENCY (OMIM:613933)"
"ACADM (34)","ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN, DE... (OMIM:201450)"
"ACADS (35)","ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEF... (OMIM:201470)"
"AICDA (57379)","IMMUNODEFICIENCY WITH HYPER-IGM, TYPE 2 (OMIM:605258)"
"ACADSB (36)","2-@METHYLBUTYRYL-COA DEHYDROGENASE DEFIC... (OMIM:610006)"
"ACADVL (37)","ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN,... (OMIM:201475)"
"APCDD1 (147495)","HYPOTRICHOSIS 1 (OMIM:605389)"
"ACAT1 (38)","ALPHA-METHYLACETOACETIC ACIDURIA (OMIM:203750)"
"CND (8231)","DERMOIDS OF CORNEA (OMIM:304730)"
"ACAT2 (39)","ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENC... (OMIM:614055)"
"DNAJC19 (131118)","3-@METHYLGLUTACONIC ACIDURIA, TYPE V (OMIM:610198)"
"USP9X (8239)","MENTAL RETARDATION, X-LINKED 99 (OMIM:300919)"
"RBM10 (8241)","TARP SYNDROME (OMIM:311900)"
"KDM5C (8242)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300534)"
"ACO2 (50)","INFANTILE CEREBELLAR-RETINAL DEGENERATIO... (OMIM:614559), OPTIC ATROPHY 8 (OMIM:616289)"
"SMC1A (8243)","CORNELIA DE LANGE SYNDROME 2 (OMIM:300590)"
"ACOX1 (51)","PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY (OMIM:264470)"
"ACP2 (53)","ACID PHOSPHATASE DEFICIENCY (OMIM:200950)"
"MRXS12 (8246)","MENTAL RETARDATION, X-LINKED, SYNDROMIC ... (OMIM:309545)"
"ACP5 (54)","SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE D... (OMIM:607944)"
"FRMD7 (90167)","NYSTAGMUS 1, CONGENITAL, X-LINKED (OMIM:310700)"
"MGR2 (8249)","MIGRAINE, FAMILIAL TYPICAL, SUSCEPTIBILI... (OMIM:300125)"
"ACTA1 (58)","MYOPATHY, CONGENITAL, WITH FIBER-TYPE DI... (OMIM:255310), NEMALINE MYOPATHY 3 (OMIM:161800)"
"ACTA2 (59)","AORTIC ANEURYSM, FAMILIAL THORACIC 6 (OMIM:611788), MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION ... (OMIM:613834), MOYAMOYA DISEASE 5 (OMIM:614042)"
"ACTB (60)","DYSTONIA, JUVENILE-ONSET (OMIM:607371), BARAITSER-WINTER SYNDROME 1 (OMIM:243310)"
"BZX (8255)","BAZEX SYNDROME (OMIM:301845)"
"GUST (8258)","MENTAL RETARDATION WITH OPTIC ATROPHY, D... (OMIM:309555)"
"INDX (8259)","IMMUNONEUROLOGIC DISORDER, X-LINKED (OMIM:300076)"
"NAA10 (8260)","OGDEN SYNDROME (OMIM:300855), MICROPHTHALMIA, SYNDROMIC 1 (OMIM:309800)"
"ACTC1 (70)","ATRIAL SEPTAL DEFECT 5 (OMIM:612794), CARDIOMYOPATHY, DILATED, 1R (OMIM:613424), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1... (OMIM:612098)"
"ACTG1 (71)","DEAFNESS, AUTOSOMAL DOMINANT 20 (OMIM:604717), BARAITSER-WINTER SYNDROME 2 (OMIM:614583)"
"ACTG2 (72)","VISCERAL MYOPATHY (OMIM:155310)"
"ISCA2 (122961)","MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYND... (OMIM:616370)"
"ACTN4 (81)","FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1 (OMIM:603278)"
"HNFJ3 (100689490)","HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVE... (OMIM:614227)"
"ACTN1 (87)","BLEEDING DISORDER, PLATELET-TYPE, 15 (OMIM:615193)"
"ACTN2 (88)","CARDIOMYOPATHY, DILATED, 1AA, WITH OR WI... (OMIM:612158)"
"HHPP (100861529)","HYPERHIDROSIS PALMARIS ET PLANTARIS (OMIM:144110)"
"ACVR1 (90)","FIBRODYSPLASIA OSSIFICANS PROGRESSIVA (OMIM:135100)"
"KDM5D (8284)","JUMONJI, AT-RICH INTERACTIVE DOMAIN 1D (OMIM:426000)"
"ACVR2B (93)","HETEROTAXY, VISCERAL, 4, AUTOSOMAL (OMIM:613751)"
"ACVRL1 (94)","TELANGIECTASIA, HEREDITARY HEMORRHAGIC, ... (OMIM:600376)"
"USP9Y (8287)","SPERMATOGENIC FAILURE, NONOBSTRUCTIVE, Y... (OMIM:415000)"
"ACY1 (95)","AMINOACYLASE 1 DEFICIENCY (OMIM:609924)"
